location_id,time_id,conflict_event_count,fatalities,conflict_trend_log
SO_AADAN,202401,0,0,
SO_AADAN,202402,3,6,1.3862943611198906
SO_AADAN,202403,5,68,0.4054651081081644
SO_AADAN,202404,14,10,0.9162907318741551
SO_AADAN,202405,6,8,-0.7621400520468968
SO_AADAN,202406,13,15,0.6931471805599452
SO_AADAN,202407,4,34,-1.0296194171811581
SO_AADAN,202408,1,0,-0.916290731874155
SO_AADAN,202409,2,14,0.4054651081081645
SO_AADAN,202410,0,0,-1.0986122886681098
SO_AADAN,202411,1,3,0.6931471805599453
SO_AADAN,202412,0,0,-0.6931471805599453
SO_AFGOOYE,202401,17,7,
SO_AFGOOYE,202402,29,21,0.5108256237659909
SO_AFGOOYE,202403,29,111,0.0
SO_AFGOOYE,202404,31,14,0.06453852113757108
SO_AFGOOYE,202405,19,21,-0.4700036292457357
SO_AFGOOYE,202406,20,12,0.04879016416943216
SO_AFGOOYE,202407,40,45,0.6690496289808849
SO_AFGOOYE,202408,41,13,0.02409755157906046
SO_AFGOOYE,202409,29,9,-0.33647223662121295
SO_AFGOOYE,202410,38,41,0.26236426446749084
SO_AFGOOYE,202411,24,36,-0.44468582126144574
SO_AFGOOYE,202412,24,50,0.0
SO_AFMADOW,202401,2,0,
SO_AFMADOW,202402,5,2,0.6931471805599452
SO_AFMADOW,202403,5,6,0.0
SO_AFMADOW,202404,0,0,-1.791759469228055
SO_AFMADOW,202405,1,0,0.6931471805599453
SO_AFMADOW,202406,3,0,0.6931471805599453
SO_AFMADOW,202407,29,120,2.014903020542265
SO_AFMADOW,202408,3,4,-2.014903020542265
SO_AFMADOW,202409,9,19,0.9162907318741553
SO_AFMADOW,202410,12,3,0.26236426446749084
SO_AFMADOW,202411,2,31,-1.466337068793427
SO_AFMADOW,202412,6,2,0.8472978603872034
SO_BAAR_DHEERE,202401,0,0,
SO_BAAR_DHEERE,202402,1,1,0.6931471805599453
SO_BAAR_DHEERE,202403,1,1,0.0
SO_BAAR_DHEERE,202404,0,0,-0.6931471805599453
SO_BAAR_DHEERE,202405,0,0,0.0
SO_BAAR_DHEERE,202406,1,0,0.6931471805599453
SO_BAAR_DHEERE,202407,4,0,0.916290731874155
SO_BAAR_DHEERE,202408,2,0,-0.5108256237659905
SO_BAAR_DHEERE,202409,5,5,0.6931471805599452
SO_BAAR_DHEERE,202410,1,1,-1.0986122886681096
SO_BAAR_DHEERE,202411,6,0,1.252762968495368
SO_BAAR_DHEERE,202412,7,6,0.13353139262452252
SO_BADHAADHE,202401,5,7,
SO_BADHAADHE,202402,1,0,-1.0986122886681096
SO_BADHAADHE,202403,1,6,0.0
SO_BADHAADHE,202404,1,3,0.0
SO_BADHAADHE,202405,2,7,0.4054651081081645
SO_BADHAADHE,202406,8,4,1.0986122886681098
SO_BADHAADHE,202407,2,3,-1.0986122886681098
SO_BADHAADHE,202408,4,15,0.5108256237659905
SO_BADHAADHE,202409,1,0,-0.916290731874155
SO_BADHAADHE,202410,4,7,0.916290731874155
SO_BADHAADHE,202411,13,8,1.0296194171811581
SO_BADHAADHE,202412,23,33,0.5389965007326873
SO_BADHAN,202401,0,0,
SO_BADHAN,202402,0,0,0.0
SO_BADHAN,202403,0,0,0.0
SO_BADHAN,202404,0,0,0.0
SO_BADHAN,202405,0,0,0.0
SO_BADHAN,202406,0,0,0.0
SO_BADHAN,202407,0,0,0.0
SO_BADHAN,202408,0,0,0.0
SO_BADHAN,202409,0,0,0.0
SO_BADHAN,202410,0,0,0.0
SO_BADHAN,202411,0,0,0.0
SO_BADHAN,202412,0,0,0.0
SO_BAKI,202401,0,0,
SO_BAKI,202402,0,0,0.0
SO_BAKI,202403,0,0,0.0
SO_BAKI,202404,0,0,0.0
SO_BAKI,202405,0,0,0.0
SO_BAKI,202406,0,0,0.0
SO_BAKI,202407,0,0,0.0
SO_BAKI,202408,0,0,0.0
SO_BAKI,202409,0,0,0.0
