location_id,admin1,months_seen,months_expected,avg_conflict,has_market,gap
SO_OODWEYNE,Togdheer,1,6.83509805901872,0.08333333333333333,0,-5.83509805901872
SO_BULO_BURTO,Hiiraan,4,9.47141335874452,7.583333333333333,1,-5.47141335874452
SO_BADHAADHE,Jubbada Hoose,3,8.205771997300108,5.416666666666667,0,-5.205771997300108
SO_TALEEX,Sool,2,7.01350461798364,0.0,1,-5.01350461798364
SO_CEEL_DHEER,Galguduud,3,7.809087119098559,8.416666666666666,0,-4.809087119098559
SO_CEEL_BUUR,Galguduud,1,5.71384674799332,1.9166666666666667,0,-4.71384674799332
SO_XARARDHEERE,Mudug,3,7.698534551680272,5.833333333333333,0,-4.698534551680272
SO_CEEL_WAAQ,Gedo,6,10.387937443157472,2.1666666666666665,1,-4.3879374431574725
SO_BARAAWE,Shabeellaha Hoose,2,6.226529818155606,5.916666666666667,0,-4.226529818155606
SO_CADALE,Shabeellaha Dhexe,3,7.048813917085175,0.9166666666666666,1,-4.048813917085175
SO_CEEL_BARDE,Bakool,2,5.847264417010702,0.75,1,-3.8472644170107024
SO_QANSAX_DHEERE,Bay,5,8.612198237896237,3.8333333333333335,1,-3.612198237896237
SO_CEEL_AFWEIN,Sanaag,4,7.443299577504958,0.5833333333333334,0,-3.443299577504958
SO_DIINSOOR,Bay,6,9.265145344948456,5.75,1,-3.265145344948456
SO_AADAN,Shabeellaha Dhexe,2,5.168711693659857,4.083333333333333,0,-3.1687116936598567
SO_BANDER_BEYLA,Bari,0,3.0878911975131933,0.0,0,-3.0878911975131933
SO_BURTINLE,Nugaal,6,8.986919533744153,0.25,1,-2.986919533744153
SO_RAB_DHUURE,Bakool,3,5.7007689583167,0.5833333333333334,1,-2.7007689583167
SO_BELET_XAAWO,Gedo,8,10.356244008044905,1.9166666666666667,1,-2.3562440080449054
SO_KUNTUWAARAY,Shabeellaha Hoose,1,3.3087892789021343,0.3333333333333333,0,-2.3087892789021343
SO_BUAALE,Jubbada Dhexe,1,3.160301017317932,0.25,0,-2.160301017317932
SO_LUGHAYA,Awdal,1,2.596923766909042,0.16666666666666666,0,-1.596923766909042
SO_ZEYLAC,Awdal,1,2.455852510234729,0.0,0,-1.4558525102347288
SO_ISKUSHUBAN,Bari,2,3.440091622537934,0.3333333333333333,0,-1.4400916225379339
SO_XUDUN,Sool,6,7.018517520387151,0.0,1,-1.0185175203871513
SO_BERBERA,Woqooyi Galbeed,9,9.8778889024393,0.0,1,-0.8778889024393006
SO_HOBYO,Mudug,8,8.841354049089443,1.5833333333333333,1,-0.8413540490894427
SO_QANDALA,Bari,3,3.769799323936277,0.6666666666666666,0,-0.7697993239362768
SO_SAAKOW,Jubbada Dhexe,3,3.4285017710645174,0.6666666666666666,0,-0.42850177106451737
SO_JARIIBAN,Mudug,5,5.2208850906012865,0.5833333333333334,0,-0.22088509060128647
SO_CALAWLA,Bari,3,3.2070140475951647,0.16666666666666666,0,-0.20701404759516473
SO_SABLALE,Shabeellaha Hoose,3,3.019421700006392,0.0,0,-0.019421700006391873
SO_QORYOOLEY,Shabeellaha Hoose,7,6.877843873647922,7.75,0,0.12215612635207762
SO_GARBAHAARAY,Gedo,8,7.869096539975638,2.0833333333333335,0,0.1309034600243617
SO_CEERIGAABO,Sanaag,11,10.694631626754623,4.583333333333333,1,0.30536837324537736
SO_HARGEYSA,Woqooyi Galbeed,11,10.637196443743308,1.8333333333333333,1,0.3628035562566918
SO_GABILEY,Woqooyi Galbeed,8,7.484914653817393,0.16666666666666666,0,0.515085346182607
SO_BUUHOODLE,Togdheer,9,8.3500687657056,2.5,0,0.6499312342943995
SO_LUUQ,Gedo,11,10.288810798185482,2.5833333333333335,1,0.7111892018145181
SO_BURCO,Togdheer,11,10.09880018024012,1.1666666666666667,1,0.9011998197598796
SO_WANLA_WEYN,Shabeellaha Hoose,6,5.024261799744805,2.8333333333333335,0,0.9757382002551953
SO_KISMAAYO,Jubbada Hoose,12,10.996250779798892,10.916666666666666,1,1.003749220201108
SO_EYL,Nugaal,10,8.958821659707745,0.25,1,1.0411783402922552
SO_AFMADOW,Jubbada Hoose,12,10.572375087030167,6.416666666666667,1,1.4276249129698328
SO_BAYDHABA,Bay,12,10.564399748361051,20.25,1,1.4356002516389488
SO_BORAMA,Awdal,8,6.500334798352692,1.3333333333333333,1,1.499665201647308
SO_BAKI,Awdal,4,2.4468889245035412,0.0,0,1.5531110754964588
SO_TIYEEGLOW,Bakool,4,2.439385022868318,0.16666666666666666,0,1.560614977131682
SO_LAAS_CAANOOD,Sool,10,8.267625001276617,1.3333333333333333,1,1.7323749987233832
SO_WAJID,Bakool,7,5.06899897662387,4.666666666666667,0,1.9310010233761297
SO_DOOLOW,Gedo,12,10.067086216769614,1.0833333333333333,1,1.9329137832303864
SO_GAROOWE,Nugaal,12,10.054258806548102,2.5,1,1.945741193451898
SO_BELET_WEYNE,Hiiraan,12,9.729747204189376,8.416666666666666,1,2.270252795810624
SO_GAALKACYO,Mudug,12,9.710140001630698,3.5,1,2.2898599983693018
SO_QARDHO,Bari,9,6.614730468487911,0.25,1,2.3852695315120886
SO_MARKA,Shabeellaha Hoose,11,8.494283591193971,20.166666666666668,0,2.5057164088060286
SO_JILIB,Jubbada Dhexe,7,4.4111972116175515,1.9166666666666667,0,2.5888027883824485
SO_DHUUSAMAREEB,Galguduud,9,6.2789544215466115,2.5833333333333335,0,2.7210455784533885
SO_JAMAAME,Jubbada Hoose,12,9.225602135870833,8.5,0,2.774397864129167
SO_CABUDWAAQ,Galguduud,12,9.204189171267364,3.25,1,2.7958108287326358
SO_AFGOOYE,Shabeellaha Hoose,12,9.048869938349165,28.416666666666668,0,2.9511300616508347
SO_JOWHAR,Shabeellaha Dhexe,12,8.9958137565382,5.75,1,3.0041862434618007
SO_XUDUR,Bakool,12,8.943582625180408,8.25,1,3.056417374819592
SO_BOSSASO,Bari,12,8.88047333992952,4.666666666666667,1,3.1195266600704805
SO_BADHAN,Sanaag,10,6.862068795740419,0.0,0,3.137931204259581
SO_JALALAQSI,Hiiraan,11,7.798839437066103,2.0,1,3.2011605629338966
SO_GOLDOGOB,Mudug,9,5.529086306998299,1.0833333333333333,0,3.470913693001701
SO_BAAR_DHEERE,Gedo,12,8.030824993866887,2.3333333333333335,0,3.9691750061331135
SO_CADAADO,Galguduud,12,7.993922540094146,0.8333333333333334,1,4.006077459905854
SO_BALCAD,Shabeellaha Dhexe,11,6.786660632716767,9.25,0,4.213339367283233
SO_SHEEKH,Togdheer,11,6.716032995035558,0.0,0,4.283967004964442
SO_CAYNABO,Sool,9,4.700352860352593,0.9166666666666666,0,4.299647139647407
SO_BUUR_XAKABA,Bay,10,4.558256668794256,1.6666666666666667,0,5.441743331205744
